condition;n;t;b_y12;b_y21;data_generation_seed;nsim
1;50;25;0.2;0.1;1000;500
2;50;25;0.2;0.15;1001;500
3;50;25;0.15;0.15;1002;500
4;50;50;0.2;0.1;1003;500
5;50;50;0.2;0.15;1004;500
6;50;50;0.15;0.15;1005;500
7;50;75;0.2;0.1;1006;500
8;50;75;0.2;0.15;1007;500
9;50;75;0.15;0.15;1008;500
10;50;100;0.2;0.1;1009;500
11;50;100;0.2;0.15;1010;500
12;50;100;0.15;0.15;1011;500
13;75;25;0.2;0.1;1012;500
14;75;25;0.2;0.15;1013;500
15;75;25;0.15;0.15;1014;500
16;75;50;0.2;0.1;1015;500
17;75;50;0.2;0.15;1016;500
18;75;50;0.15;0.15;1017;500
19;75;75;0.2;0.1;1018;500
20;75;75;0.2;0.15;1019;500
21;75;75;0.15;0.15;1020;500
22;75;100;0.2;0.1;1021;500
23;75;100;0.2;0.15;1022;500
24;75;100;0.15;0.15;1023;500
25;100;25;0.2;0.1;1024;500
26;100;25;0.2;0.15;1025;500
27;100;25;0.15;0.15;1026;500
28;100;50;0.2;0.1;1027;500
29;100;50;0.2;0.15;1028;500
30;100;50;0.15;0.15;1029;500
31;100;75;0.2;0.1;1030;500
32;100;75;0.2;0.15;1031;500
33;100;75;0.15;0.15;1032;500
34;100;100;0.2;0.1;1033;500
35;100;100;0.2;0.15;1034;500
36;100;100;0.15;0.15;1035;500
37;150;25;0.2;0.1;1036;500
38;150;25;0.2;0.15;1037;500
39;150;25;0.15;0.15;1038;500
40;150;50;0.2;0.1;1039;500
41;150;50;0.2;0.15;1040;500
42;150;50;0.15;0.15;1041;500
43;150;75;0.2;0.1;1042;500
44;150;75;0.2;0.15;1043;500
45;150;75;0.15;0.15;1044;500
46;150;100;0.2;0.1;1045;500
47;150;100;0.2;0.15;1046;500
48;150;100;0.15;0.15;1047;500
49;200;25;0.2;0.1;1048;500
50;200;25;0.2;0.15;1049;500
51;200;25;0.15;0.15;1050;500
52;200;50;0.2;0.1;1051;500
53;200;50;0.2;0.15;1052;500
54;200;50;0.15;0.15;1053;500
55;200;75;0.2;0.1;1054;500
56;200;75;0.2;0.15;1055;500
57;200;75;0.15;0.15;1056;500
58;200;100;0.2;0.1;1057;500
59;200;100;0.2;0.15;1058;500
60;200;100;0.15;0.15;1059;500
61;50;25;0.20;0.175;1060;500
62;50;50;0.20;0.175;1061;500
63;50;75;0.20;0.175;1062;500
64;50;100;0.20;0.175;1063;500
65;75;25;0.20;0.175;1064;500
66;75;50;0.20;0.175;1065;500
67;75;75;0.20;0.175;1066;500
68;75;100;0.20;0.175;1067;500