condition;info;Cross-Lagged Parameters;Data generating parameter;Seed Value Analysis
condition_1;N = 50, T = 25;0.2, 0.1;1000;1001
condition_2;N = 50, T = 25;0.2, 0.15;1001;1002
condition_3;N = 50, T = 25;0.15, 0.15;1002;1003
condition_4;N = 50, T = 50;0.2, 0.1;1003;1004
condition_5;N = 50, T = 50;0.2, 0.15;1004;1005
condition_6;N = 50, T = 50;0.15, 0.15;1005;1006
condition_7;N = 50, T = 75;0.2, 0.1;1006;1007
condition_8;N = 50, T = 75;0.2, 0.15;1007;1008
condition_9;N = 50, T = 75;0.15, 0.15;1008;1009
condition_10;N = 50, T = 100;0.2, 0.1;1009;1010
condition_11;N = 50, T = 100;0.2, 0.15;1010;1011
condition_12;N = 50, T = 100;0.15, 0.15;1011;1012
condition_13;N = 75, T = 25;0.2, 0.1;1012;1013
condition_14;N = 75, T = 25;0.2, 0.15;1013;1014
condition_15;N = 75, T = 25;0.15, 0.15;1014;1015
condition_16;N = 75, T = 50;0.2, 0.1;1015;1016
condition_17;N = 75, T = 50;0.2, 0.15;1016;1017
condition_18;N = 75, T = 50;0.15, 0.15;1017;1018
condition_19;N = 75, T = 75;0.2, 0.1;1018;1019
condition_20;N = 75, T = 75;0.2, 0.15;1019;1020
condition_21;N = 75, T = 75;0.15, 0.15;1020;1021
condition_22;N = 75, T = 100;0.2, 0.1;1021;1022
condition_23;N = 75, T = 100;0.2, 0.15;1022;1023
condition_24;N = 75, T = 100;0.15, 0.15;1023;1024
condition_25;N = 100, T = 25;0.2, 0.1;1024;1025
condition_26;N = 100, T = 25;0.2, 0.15;1025;1026
condition_27;N = 100, T = 25;0.15, 0.15;1026;1027
condition_28;N = 100, T = 50;0.2, 0.1;1027;1028
condition_29;N = 100, T = 50;0.2, 0.15;1028;1029
condition_30;N = 100, T = 50;0.15, 0.15;1029;1030
condition_31;N = 100, T = 75;0.2, 0.1;1030;1031
condition_32;N = 100, T = 75;0.2, 0.15;1031;1032
condition_33;N = 100, T = 75;0.15, 0.15;1032;1033
condition_34;N = 100, T = 100;0.2, 0.1;1033;1034
condition_35;N = 100, T = 100;0.2, 0.15;1034;1035
condition_36;N = 100, T = 100;0.15, 0.15;1035;1036
condition_37;N = 150, T = 25;0.2, 0.1;1036;1037
condition_38;N = 150, T = 25;0.2, 0.15;1037;1038
condition_39;N = 150, T = 25;0.15, 0.15;1038;1039
condition_40;N = 150, T = 50;0.2, 0.1;1039;1040
condition_41;N = 150, T = 50;0.2, 0.15;1040;1041
condition_42;N = 150, T = 50;0.15, 0.15;1041;1042
condition_43;N = 150, T = 75;0.2, 0.1;1042;1043
condition_44;N = 150, T = 75;0.2, 0.15;1043;1044
condition_45;N = 150, T = 75;0.15, 0.15;1044;1045
condition_46;N = 150, T = 100;0.2, 0.1;1045;1046
condition_47;N = 150, T = 100;0.2, 0.15;1046;1047
condition_48;N = 150, T = 100;0.15, 0.15;1047;1048
condition_61;N = 50, T = 25;0.2, 0.175;1060;1061
condition_62;N = 50, T = 50;0.2, 0.175;1061;1062
condition_63;N = 50, T = 75;0.2, 0.175;1062;1063
condition_64;N = 50, T = 100;0.2, 0.175;1063;1064
condition_65;N = 75, T = 25;0.2, 0.175;1064;1065
condition_66;N = 75, T = 50;0.2, 0.175;1065;1066
condition_67;N = 75, T = 75;0.2, 0.175;1066;1067
condition_68;N = 75, T = 100;0.2, 0.175;1067;1068